鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
嘉義市,土地,湖子內段興安小段271~300地號,165.3,其他,,,1090723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7400000,44767,,0.0,0,,RPSPMLRKQHPFFAI07DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物),義教街127巷61~90號,90.0,其他,,,1090718,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670918,105.34,4,2,2,有,無,3500000,33226,,0.0,0,,RPQNMLSKQHPFFAI76DA,105.34,0.0,0.0,無
嘉義市,房地(土地+建物),玉街61~90號,95.57,其他,,,1090717,土地4建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,1001213,266.88,4,3,4,有,無,15700000,58828,,0.0,0,,RPRNMLTKQHPFFAI07EA,245.2,0.0,21.68,無
嘉義市,土地,湖內段631~660地號,6.4,其他,,,1090812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,31250,,0.0,0,,RPPOMLTKQHPFFAI96EA,0.0,0.0,0.0,無
嘉義市,土地,湖內段631~660地號,6.4,其他,,,1090812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,220000,34375,,0.0,0,,RPROMLTKQHPFFAI17EA,0.0,0.0,0.0,無
嘉義市,土地,竹圍子段三小段31~60地號,291.46,其他,,,1090804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22042000,75626,,0.0,0,,RPRNMLKLQHPFFAI88EA,0.0,0.0,0.0,無
嘉義市,土地,湖子內段湖美小段451~480地號,3160.77,其他,,,1090812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,92160000,29157,,0.0,0,,RPSNMLKLQHPFFAI98EA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物),湖美二路391~420號,151.77,其他,,,1090710,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1081225,275.13,3,3,5,有,無,18000000,65424,,0.0,0,,RPWNMLKLQHPFFAI76EA,256.07,0.0,19.06,有
嘉義市,房地(土地+建物),公園街95巷1~30號,563.0,其他,,,1090324,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680410,546.68,12,6,6,有,無,34180000,62523,,0.0,0,,RPTNMLTKQHPFFAI27EA,522.68,24.0,0.0,無
嘉義市,房地(土地+建物),南京東街211~240號,128.57,,,,1090805,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1081230,259.49,4,3,5,有,無,15100000,58191,,0.0,0,,RPUNMLTKQHPFFAI37EA,237.17,0.0,22.32,無
嘉義市,房地(土地+建物),長安街1巷30弄1~30號,65.0,其他,,,1090805,土地2建物1車位0,全,一層,透天厝,住家用,木造,0470320,31.04,0,0,0,無,無,620000,19974,,0.0,0,位於窄巷出入不便巷弄低於2米房屋破損不勘使用,RPWNMLTKQHPFFAI57EA,31.04,0.0,0.0,無
嘉義市,房地(土地+建物),下埤路288巷1~30號,96.0,其他,,,1090729,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0871217,151.59,4,2,3,有,無,5600000,36942,,0.0,0,,RPUOMLSKQHPFFAI27DA,129.64,9.48,12.47,無
嘉義市,房地(土地+建物),青年街61~90號,143.95,其他,,,1090422,土地5建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1060928,427.16999999999996,5,2,5,有,有,26600000,62270,,0.0,0,,RPQNMLTKQHPFFAI86DA,348.39,0.0,43.01,有
嘉義市,房地(土地+建物)+車位,劉富街156巷1~30號,113.93,其他,,,1090723,土地3建物1車位1,全,三層,透天厝,見其他登記事項,見其他登記事項,1080523,183.97,4,3,3,有,無,12000000,65228,一樓平面,0.0,0,其他增建;,RPOOMLTKQHPFFAI76DA,168.89,0.0,15.08,無
嘉義市,房地(土地+建物)+車位,日新街126巷31~60號,100.0,其他,,,1090811,土地1建物1車位1,全,三層,透天厝,見其他登記事項,見其他登記事項,1081213,197.11,3,3,3,有,無,12760000,64735,一樓平面,0.0,0,,RPPOMLTKQHPFFAI86DA,182.59,0.0,14.52,無
嘉義市,房地(土地+建物),興美八街31~60號,94.26,,,,1090618,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1080716,189.09,5,3,5,有,無,12000000,63462,,0.0,0,含傢俱設備費;,RPTOMLTKQHPFFAI27DA,170.8,0.0,18.29,無
嘉義市,房地(土地+建物),長榮街155巷1~30號,101.0,其他,,,1090719,土地2建物1車位0,全,二層,透天厝,住家用,木造,0630521,72.17,2,2,1,有,無,1800000,24941,,0.0,0,,RPWOMLTKQHPFFAI57DA,72.17,0.0,0.0,無
嘉義市,房地(土地+建物),友平街1~30號,13.05,其他,,,1090724,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831215,60.92,1,1,1,有,有,2020000,33158,,0.0,0,,RPUNMLKLQHPFFAI09DA,42.87,0.0,0.0,有
嘉義市,房地(土地+建物),林森東路684巷31~60號,86.0,其他,,,1090719,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0650121,49.16,2,2,1,有,無,2890000,58788,,0.0,0,,RPUOMLKLQHPFFAI56DA,49.16,0.0,0.0,無
嘉義市,房地(土地+建物)+車位,玉山路251巷37弄1~30號,35.68,其他,,,1090731,土地1建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811111,148.87,3,2,2,有,有,2880000,19346,坡道平面,0.0,0,,RPROMLKLQHPFFAI88DA,106.43,2.82,10.02,無
嘉義市,房地(土地+建物),彌陀路241巷61~90號,51.0,其他,,,1090801,土地1建物1車位0,全,二層,透天厝,住家用,木造,0640904,60.9,3,2,1,有,無,2200000,36125,,0.0,0,,RPSOMLKLQHPFFAI98DA,60.9,0.0,0.0,無
嘉義市,土地,湖子內段湖美小段541~570地號,2069.57,其他,,,1090811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39358888,19018,,0.0,0,政府機關標讓售;,RPUNMLLKQHPFFAI09DA,0.0,0.0,0.0,無
嘉義市,土地,堀川段1~30地號,64.0,其他,,,1090611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,93750,,0.0,0,未登記建物;,RPROMLLKQHPFFAI88DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物),新民路121~150號,512.67,其他,,,1090627,土地2建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土加強磚造,0790115,644.34,0,0,0,無,無,22200000,34454,,0.0,0,,RPUNMLMKQHPFFAI56DA,629.24,15.1,0.0,無
嘉義市,房地(土地+建物),湖美二路391~420號,98.85,其他,,,1090728,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1081225,211.73,4,3,4,有,無,13580000,64138,,0.0,0,,RPPPMLMKQHPFFAI88DA,188.54,0.0,23.19,無
嘉義市,土地,湖子內段新民小段331~360地號,1200.57,其他,,,1090813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39760000,33118,,0.0,0,政府機關標讓售;,RPPNMLNKQHPFFAI78DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物)+車位,興仁街38巷61~90號,32.53,其他,,,1090807,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831223,135.0,3,2,2,有,有,5850000,43333,坡道平面,0.0,0,,RPRNMLLKQHPFFAI78DA,78.06,0.0,9.9,有
嘉義市,土地,埤子頭段391~420地號,55.72,其他,,,1090722,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,26920,,0.0,0,,RPTOMLKLQHPFFAI09DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物),軍輝路114巷31~60號,10.94,其他,,,1090809,土地1建物1車位0,一層，二層,二層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660920,14.27,4,2,3,有,無,360000,25228,,0.0,0,,RPOOMLLLQHPFFAI68DA,14.27,0.0,0.0,無
嘉義市,房地(土地+建物),嘉北街12巷31~60號,60.0,其他,,,1090718,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0791002,202.4,8,2,5,有,無,8350000,41255,,0.0,0,其他增建;,RPPOMLLLQHPFFAI78DA,190.0,0.0,12.4,無
嘉義市,房地(土地+建物),大雅路一段368巷181~210號,137.12,其他,,,1090323,土地5建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1090217,326.31,4,2,5,有,無,25000000,76614,,0.0,0,土地買賣價格1872萬元建物買賣價格628萬元,RPPNMLLLQHPFFAI68DA,298.08,0.0,28.15,有
嘉義市,房地(土地+建物),興業東路175巷1~30號,58.0,其他,,,1090723,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0601203,90.12,5,1,2,有,無,4200000,46605,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLLLQHPFFAI98DA,90.12,0.0,0.0,無
嘉義市,房地(土地+建物)+車位,博東路151~180號,14.59,其他,,,1090728,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,150.45,2,2,2,有,有,4580000,30122,坡道平面,15.0,500000,,RPUNMLLLQHPFFAI56DA,89.21,0.0,12.05,有
嘉義市,房地(土地+建物)+車位,永福三街1~30號,25.11,其他,,,1090701,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820217,144.11,4,2,2,有,有,5500000,38165,坡道機械,0.0,0,,RPVNMLLLQHPFFAI66DA,89.65,0.0,14.43,有
嘉義市,房地(土地+建物),民生南路916巷36弄1~30號,45.0,其他,,,1090623,土地2建物1車位0,一層,一層,公寓(5樓含以下無電梯),住家用,木造,0640113,11.94,3,2,1,有,無,670000,56114,,0.0,0,,RPVNMLKLQHPFFAI56DA,11.94,0.0,0.0,無
嘉義市,房地(土地+建物),林森東路451~480號,39.84,其他,,,1090716,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780415,143.26,3,2,2,有,有,4250000,29666,,0.0,0,,RPPOMLKLQHPFFAI68DA,90.68,0.0,13.99,有
嘉義市,房地(土地+建物),小雅路181~210號,12.98,其他,,,1090816,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,108.65,2,2,1,有,有,3450000,31753,,0.0,0,,RPPNMLOLQHPFFAI98DA,67.93,0.0,8.87,有
嘉義市,房地(土地+建物),和平路61~90號,28.8,其他,,,1090714,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750423,98.36,3,2,2,有,無,3200000,32534,,0.0,0,,RPTNMLMLQHPFFAI56DA,72.28,0.0,11.5,有
嘉義市,土地,車店段361~390地號,80.0,其他,,,1090806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,68750,,0.0,0,,RPRNMLLLQHPFFAI98EA,0.0,0.0,0.0,無
嘉義市,土地,溪東段1~30地號,1885.48,其他,,,1090706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17600000,9334,,0.0,0,,RPTNMLOLQHPFFAI86EA,0.0,0.0,0.0,無
嘉義市,土地,湖子內段湖美小段181~210地號,434.48,其他,,,1090806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17080000,39311,,0.0,0,,RPUNMLPLQHPFFAI07EA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物),姜文街211~240號,137.33,其他,,,1090720,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0880308,136.27,3,2,3,有,無,7220000,52983,,0.0,0,,RPRNMLMLQHPFFAI98DA,120.88,11.25,4.14,無
嘉義市,土地,同興段541~570地號,4296.0,其他,,,1090527,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32305000,7520,,0.0,0,農作物;,RPSNMLMLQHPFFAI09DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物)+車位,永康二街31~60號,25.75,其他,,,1090731,土地2建物1車位1,一層，二層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0810513,153.47,3,2,2,有,有,4600000,29973,坡道平面,0.0,0,,RPSNMLPLQHPFFAI76DA,104.94,5.0,3.64,有
