編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUSMLNLPHPFFAO77CB,竹蓮段,11.22,都市：商,持分移轉
RPPUMLNLPHPFFAO47CB,竹蓮段,7.99,都市：商,持分移轉
RPTSMLNLPHPFFAO67CB,竹蓮段,11.79,都市：商,持分移轉
RPWTMLNLPHPFFAO08CB,竹蓮段,7.99,都市：商,持分移轉
RPXRMLNLPHPFFAO97CB,竹蓮段,9.64,都市：商,持分移轉
RPXSMLNLPHPFFAO08CB,竹蓮段,7.99,都市：商,持分移轉
RPRUMLNLPHPFFAO67CB,竹蓮段,10.59,都市：商,持分移轉
RPXUMLNLPHPFFAO28CB,竹蓮段,7.99,都市：商,持分移轉
RPVUMLNLPHPFFAO08CB,竹蓮段,7.99,都市：商,持分移轉
RPSUMLNLPHPFFAO77CB,竹蓮段,8.88,都市：商,持分移轉
RPQTMLNLPHPFFAO47CB,竹蓮段,11.22,都市：商,持分移轉
RPPVMLNLPHPFFAO57CB,竹蓮段,7.99,都市：商,持分移轉
RPQVMLNLPHPFFAO67CB,竹蓮段,7.99,都市：商,持分移轉
RPVRMLNLPHPFFAO77CB,竹蓮段,7.99,都市：商,持分移轉
RPTVMLNLPHPFFAO97CB,竹蓮段,7.99,都市：商,持分移轉
RPXVMLNLPHPFFAO38CB,竹蓮段,11.29,都市：商,持分移轉
RPWVMLNLPHPFFAO28CB,竹蓮段,11.92,都市：商,持分移轉
RPSVMLNLPHPFFAO87CB,竹蓮段,8.62,都市：商,持分移轉
RPVOMLTLPHPFFAO08CB,竹蓮段,7.99,都市：商,持分移轉
RPTOMLTLPHPFFAO87CB,竹蓮段,7.99,都市：商,持分移轉
RPWSMLKMPHPFFAO77CB,竹蓮段,11.73,都市：商,持分移轉
